step,queue_length,total_arrivals,total_served,total_dropout,avg_waiting_time,avg_system_time,service_level,dropout_rate,utilization,current_arrival_prob
68,13,30,7,8,14.428571428571429,29.428571428571427,0.23333333333333334,0.26666666666666666,1.0,0.35
69,14,32,8,8,16.875,31.625,0.25,0.25,1.0,0.35
70,13,32,9,8,18.88888888888889,33.333333333333336,0.28125,0.25,1.0,0.35
71,12,32,9,9,18.88888888888889,33.333333333333336,0.28125,0.28125,1.0,0.35
72,13,33,9,9,18.88888888888889,33.333333333333336,0.2727272727272727,0.2727272727272727,1.0,0.35
73,13,34,9,10,18.88888888888889,33.333333333333336,0.2647058823529412,0.29411764705882354,1.0,0.35
74,14,35,9,10,18.88888888888889,33.333333333333336,0.2571428571428571,0.2857142857142857,1.0,0.35
75,13,35,9,11,18.88888888888889,33.333333333333336,0.2571428571428571,0.3142857142857143,1.0,0.35
76,14,36,9,11,18.88888888888889,33.333333333333336,0.25,0.3055555555555556,1.0,0.35
77,14,36,9,11,18.88888888888889,33.333333333333336,0.25,0.3055555555555556,1.0,0.35
78,14,36,9,11,18.88888888888889,33.333333333333336,0.25,0.3055555555555556,1.0,0.35
79,14,36,9,11,18.88888888888889,33.333333333333336,0.25,0.3055555555555556,1.0,0.35
80,15,37,9,11,18.88888888888889,33.333333333333336,0.24324324324324326,0.2972972972972973,1.0,0.35
81,14,37,9,12,18.88888888888889,33.333333333333336,0.24324324324324326,0.32432432432432434,1.0,0.35
82,14,38,10,12,19.9,34.0,0.2631578947368421,0.3157894736842105,1.0,0.35
83,14,38,10,12,19.9,34.0,0.2631578947368421,0.3157894736842105,1.0,0.35
84,14,39,10,13,19.9,34.0,0.2564102564102564,0.3333333333333333,1.0,0.35
85,14,39,10,13,19.9,34.0,0.2564102564102564,0.3333333333333333,1.0,0.35
86,15,40,10,13,19.9,34.0,0.25,0.325,1.0,0.35
87,13,40,10,15,19.9,34.0,0.25,0.375,1.0,0.35
88,12,40,11,15,21.545454545454547,36.0,0.275,0.375,1.0,0.35
89,13,41,11,15,21.545454545454547,36.0,0.2682926829268293,0.36585365853658536,1.0,0.35
90,13,41,11,15,21.545454545454547,36.0,0.2682926829268293,0.36585365853658536,1.0,0.35
91,12,41,11,16,21.545454545454547,36.0,0.2682926829268293,0.3902439024390244,1.0,0.35
92,13,42,11,16,21.545454545454547,36.0,0.2619047619047619,0.38095238095238093,1.0,0.35
93,11,42,12,17,22.25,36.333333333333336,0.2857142857142857,0.40476190476190477,1.0,0.35
94,12,43,12,17,22.25,36.333333333333336,0.27906976744186046,0.3953488372093023,1.0,0.35
95,12,43,12,17,22.25,36.333333333333336,0.27906976744186046,0.3953488372093023,1.0,0.35
96,13,44,12,17,22.25,36.333333333333336,0.2727272727272727,0.38636363636363635,1.0,0.35
97,14,45,12,17,22.25,36.333333333333336,0.26666666666666666,0.37777777777777777,1.0,0.35
98,15,46,12,17,22.25,36.333333333333336,0.2608695652173913,0.3695652173913043,1.0,0.35
99,15,47,12,18,22.25,36.333333333333336,0.2553191489361702,0.3829787234042553,1.0,0.35
100,16,48,12,18,22.25,36.333333333333336,0.25,0.375,1.0,0.35
101,16,48,12,18,22.25,36.333333333333336,0.25,0.375,1.0,0.35
102,15,48,13,18,23.076923076923077,37.07692307692308,0.2708333333333333,0.375,1.0,0.35
103,14,48,13,19,23.076923076923077,37.07692307692308,0.2708333333333333,0.3958333333333333,1.0,0.35
104,14,48,13,19,23.076923076923077,37.07692307692308,0.2708333333333333,0.3958333333333333,1.0,0.35
105,15,49,13,19,23.076923076923077,37.07692307692308,0.2653061224489796,0.3877551020408163,1.0,0.35
106,14,49,14,19,23.214285714285715,37.07142857142857,0.2857142857142857,0.3877551020408163,1.0,0.35
107,14,49,14,19,23.214285714285715,37.07142857142857,0.2857142857142857,0.3877551020408163,1.0,0.35
108,14,49,14,19,23.214285714285715,37.07142857142857,0.2857142857142857,0.3877551020408163,1.0,0.35
109,13,49,14,20,23.214285714285715,37.07142857142857,0.2857142857142857,0.40816326530612246,1.0,0.35
110,14,50,14,20,23.214285714285715,37.07142857142857,0.28,0.4,1.0,0.35
111,15,51,14,20,23.214285714285715,37.07142857142857,0.27450980392156865,0.39215686274509803,1.0,0.35
112,13,51,14,22,23.214285714285715,37.07142857142857,0.27450980392156865,0.43137254901960786,1.0,0.35
113,13,51,14,22,23.214285714285715,37.07142857142857,0.27450980392156865,0.43137254901960786,1.0,0.35
114,12,51,14,23,23.214285714285715,37.07142857142857,0.27450980392156865,0.45098039215686275,1.0,0.35
115,11,51,14,24,23.214285714285715,37.07142857142857,0.27450980392156865,0.47058823529411764,1.0,0.35
116,9,51,15,25,23.933333333333334,37.733333333333334,0.29411764705882354,0.49019607843137253,1.0,0.35
117,9,51,15,25,23.933333333333334,37.733333333333334,0.29411764705882354,0.49019607843137253,1.0,0.35
118,10,52,15,25,23.933333333333334,37.733333333333334,0.28846153846153844,0.4807692307692308,1.0,0.35
119,10,52,15,25,23.933333333333334,37.733333333333334,0.28846153846153844,0.4807692307692308,1.0,0.35
120,10,53,15,26,23.933333333333334,37.733333333333334,0.2830188679245283,0.49056603773584906,1.0,0.44999999999999996
121,9,54,16,27,24.625,38.4375,0.2962962962962963,0.5,1.0,0.44999999999999996
122,9,54,16,27,24.625,38.4375,0.2962962962962963,0.5,1.0,0.44999999999999996
